ID,River,Type,Scour depth (m)1,Easting (m)2,Northing (m)2,Elevation (m)3,Species4,Depth to water table (m),Density (m-1),Height (m),Basal diameter (m),Frontal area (m2),Pullout force (N) ,Break5,Root frontal area (m2),Depth to highest root density (m),Root length (m)6
S19.12,BR,Pull test,0.4,252690.974,283846.919,963.973,P,1.03,0.08,0.25,0.00571,0.00719,68.9,0,NA,NA,0.32
S19.13,BR,Pull test,0.1,252690.911,283849.181,964.075,P,1.13,0.08,0.76,0.0103,0.05456,904.0,1,NA,NA,0.435
S19.14,BR,Pull test,0.2,252689.201,283849.037,964.035,P,1.09,0.08,0.79,0.01521,0.10490,1090.9,0,NA,NA,0.32
S19.15,BR,Pull test,0.3,252690.14,283846.432,964.033,P,1.09,0.08,0.475,0.01218,0.06844,585.7,1,NA,NA,0.47
S19.16,BR,Pull test,0.4,252689.187,283846.715,963.988,P,1.05,0.08,0.75,0.01438,0.05838,302.8,1,NA,NA,0.475
S19.17,BR,Pull test,0.1,252686.858,283862.469,964.008,P,1.07,0.08,0.32,0.00898,0.01505,308.7,1,NA,NA,0.295
S19.18,BR,Pull test,0.2,252686.68,283862.17,964,P,1.06,0.08,0.41,0.00902,0.02087,280.2,1,NA,NA,0.335
S19.19,BR,Pull test,0.3,252686.141,283863.633,963.972,P,1.03,0.08,0.29,0.00672,0.00720,66.9,1,NA,NA,0.305
S19.20,BR,Pull test,0.4,252687.006,283862.813,964.074,P,1.13,0.08,0.41,0.00881,0.03476,162.9,1,NA,NA,0.41
S26.1,BR,Pull test,0.1,252680.52,283798.703,964.234,P,1.17,0.02,0.185,0.00713,0.00377,76.1,1,NA,NA,0.155
S26.2,BR,Pull test,0.2,252679.868,283797.696,964.22,P,1.15,0.02,0.215,0.00436,0.00290,52.9,1,NA,NA,0.205
S26.3,BR,Pull test,0.3,252680.069,283797.578,964.242,P,1.18,0.02,0.19,0.00424,0.00460,17.2,0,0.00194,0.21,0.27
S26.4,BR,Pull test,0.4,252680.39,283797.68,964.266,P,1.2,0.02,0.195,0.00427,0.01950,16.3,0,NA,NA,0.3
S26.5,BR,Pull test,0.1,252681.398,283798.151,964.299,P,1.23,0.02,0.27,0.00832,0.02076,357.5,0,NA,NA,0.345
S26.6,BR,Pull test,0.2,252680.989,283796.138,964.334,P,1.27,0.02,0.385,0.00786,0.03208,262.4,0,NA,NA,0.285
S26.8,BR,Pull test,0.4,252679.607,283796.184,964.267,P,1.2,0.02,0.335,0.00747,0.03260,21.4,1,NA,NA,0.37
S26.9,BR,Pull test,0.1,252675.865,283774.417,964.29,P,1.22,0.02,0.285,0.00437,0.00918,87.9,1,NA,NA,0.11
S26.10,BR,Pull test,0.2,252675.325,283774.849,964.25,P,1.18,0.02,0.235,0.00409,0.00884,95.2,1,NA,NA,0.22
S26.11,BR,Pull test,0.3,252678.219,283773.495,964.288,P,1.22,0.02,0.25,0.00472,0.01090,14.2,0,0.00174,0.08,0.255
S26.12,BR,Pull test,0.4,252675.527,283772.015,964.315,P,1.25,0.02,0.26,0.00411,0.00876,17.9,1,0.00187,0.19,0.39
S26.13,BR,Pull test,0.1,252676.934,283772.507,964.248,P,1.18,0.02,0.325,0.00716,0.02330,238.7,1,NA,NA,0.155
S26.14,BR,Pull test,0.2,252679.096,283774.743,964.301,P,1.23,0.02,0.495,0.00825,0.02808,126.6,0,NA,NA,0.205
S26.15,BR,Pull test,0.3,252677.429,283775.641,964.288,P,1.22,0.02,0.34,0.00676,0.02724,119.8,1,NA,NA,0.31
S26.16,BR,Pull test,0.4,252677.873,283774.605,964.306,P,1.24,0.02,0.37,0.01044,0.03016,38.5,1,NA,NA,0.41
S20.1,BR,Pull test,0.1,252691.056,283878.469,964.08,P,1.12,0.01,0.16,0.0031,0.00317,65.0,1,NA,NA,0.125
S20.2,BR,Pull test,0.2,252690.541,283878.761,964.102,P,1.14,0.01,0.26,0.00354,0.00593,22.6,1,NA,NA,0.19
S20.3,BR,Pull test,0.3,252690.633,283878.942,964.059,P,1.1,0.01,0.255,0.0041,0.00604,25.1,1,NA,NA,0.345
S20.4,BR,Pull test,0.4,252690.817,283877.839,964.087,P,1.12,0.01,0.27,0.00551,0.00375,4.45E-05,NA,0.00445,0.17,0.485
S20.5,BR,Pull test,0.1,252689.108,283870.211,964.12,P,1.16,0.01,0.205,0.00453,0.00606,86.9,1,NA,NA,0.14
S20.6,BR,Pull test,0.2,252688.999,283869.879,964.097,P,1.13,0.01,0.275,0.00588,0.00896,61.9,1,NA,NA,0.225
S20.7,BR,Pull test,0.3,252689.942,283870.765,964.113,P,1.15,0.01,0.21,0.00465,0.00425,22.5,1,NA,NA,0.375
S25.1,BR,Pull test,0.1,252684.996,283863.584,963.778,P,0.75,NA,0.435,0.00754,0.02376,59.3,1,NA,NA,0.165
S25.2,BR,Pull test,0.2,252684.878,283863.829,963.811,P,0.78,NA,0.47,0.00616,0.02097,62.1,0,NA,NA,0.21
S25.3,BR,Pull test,0.3,252683.248,283865.427,963.757,P,0.73,NA,0.42,0.00605,0.01090,19.1,0,0.00288,0.13,0.305
S25.5,BR,Pull test,0.1,252685.25,283861.468,963.911,P,0.88,NA,0.185,0.0031,0.00216,50.3,1,NA,NA,0.165
S25.6,BR,Pull test,0.2,252684.962,283861.788,963.845,P,0.82,NA,0.265,0.0053,0.00859,47.5,1,NA,NA,0.205
S25.7,BR,Pull test,0.3,252684.953,283862.406,963.862,P,0.84,NA,0.23,0.00476,0.00481,17.3,0,NA,NA,0.295
S25.8,BR,Pull test,0.4,252684.575,283861.264,963.832,P,0.81,NA,0.315,0.00476,0.00511,4.45E-05,NA,0.00194,0.13,0.31
"10.4 m scour treatment was not conducted at all sites, and was therefore excluded from manuscript analyses.",,,,,,,,,,,,,,,,,
2Coordinate system state plane for BR and UTM for BWR and SMR.,,,,,,,,,,,,,,,,,
3Elevation relative to 2009-CONUS geoid for BR and 2006-CONUS geoid for BWR and SMR.,,,,,,,,,,,,,,,,,
"4P = Populus; S = Salix; T = Tamarix; Salix was not present at all sites, and was therefore excluded from manuscript analyses.",,,,,,,,,,,,,,,,,
51 denotes roots breaking; 0 denotes roots slipping out.,,,,,,,,,,,,,,,,,
6Root length is as measured after pull test or excavation; seedlings that were uprooted intact were included for root morphometric investigation and have a frontal area.,,,,,,,,,,,,,,,,,
"Bywater-Reyes, S., Wilcox, A. C., Stella, J. C., & Lightbody, A. F. (2015). Flow and scour constraints on uprooting of pioneer woody seedlings. Water Resources Research, 51, 9190–9206. https://doi.org/10.1002/2014WR016641",,,,,,,,,,,,,,,,,
